,Scheme,Version,Problem,Level,Variant,Implementation,Key Generation [bytes],Sign [bytes],Verify [bytes]
0,cross,1.2,sdp,1,balance,ref,4232,99368,33456
1,cross,1.2,sdp,1,small,profile,4240,351888,108772
2,cross,1.2,sdp,1,small,ref,4232,351856,108756
3,cross,1.2,sdp,3,balance,ref,8360,227536,73456
4,cross,1.2,sdp,3,small,ref,8360,514136,157772
5,cross,1.2,sdp,5,balance,ref,14368,386672,121640
6,cross,1.2,sdp,5,small,ref,0,0,0
7,cross,1.2,sdpg,1,balance,ref,2216,76880,31080
8,cross,1.2,sdpg,1,small,ref,2216,263232,98612
9,cross,1.2,sdpg,3,balance,ref,3936,118352,48280
10,cross,1.2,sdpg,3,small,ref,3936,417040,155156
11,cross,1.2,sdpg,5,balance,ref,6312,215400,84280
12,cross,1.2,sdpg,5,small,ref,6312,577336,214020
13,cross,2.0,sdp,1,balance,light,1112,93016,36316
14,cross,2.0,sdp,1,balance,ref,8112,210016,113184
15,cross,2.0,sdp,1,fast,light,1112,54600,14776
16,cross,2.0,sdp,1,fast,ref,8112,116224,56720
17,cross,2.0,sdp,1,small,light,1112,182488,67016
18,cross,2.0,sdp,1,small,ref,8112,421392,223832
19,cross,2.0,sdp,3,balance,light,1248,203128,77936
20,cross,2.0,sdp,3,balance,ref,16832,463484,248804
21,cross,2.0,sdp,3,fast,light,1248,119016,29984
22,cross,2.0,sdp,3,fast,ref,16832,257976,124648
23,cross,2.0,sdp,3,small,light,1248,300928,111800
24,cross,2.0,sdp,3,small,ref,0,0,0
25,cross,2.0,sdp,5,balance,light,1392,360216,135952
26,cross,2.0,sdp,5,balance,ref,0,0,0
27,cross,2.0,sdp,5,fast,light,1392,211952,51512
28,cross,2.0,sdp,5,fast,ref,29624,463008,222424
29,cross,2.0,sdp,5,small,light,1392,573664,209224
30,cross,2.0,sdpg,1,balance,light,2496,75288,34648
31,cross,2.0,sdpg,1,balance,ref,3984,156712,94372
32,cross,2.0,sdpg,1,fast,light,2496,40456,12760
33,cross,2.0,sdpg,1,fast,ref,3984,77768,42168
34,cross,2.0,sdpg,1,small,light,2496,145584,64500
35,cross,2.0,sdpg,1,small,ref,3984,309608,184632
36,cross,2.0,sdpg,3,balance,light,4128,116504,54888
37,cross,2.0,sdpg,3,balance,ref,7440,240896,145108
38,cross,2.0,sdpg,3,fast,light,4128,87656,25904
39,cross,2.0,sdpg,3,fast,ref,7440,170424,91312
40,cross,2.0,sdpg,3,small,light,4128,214144,96576
41,cross,2.0,sdpg,3,small,ref,7440,453168,270912
42,cross,2.0,sdpg,5,balance,light,6560,200840,92984
43,cross,2.0,sdpg,5,balance,ref,11776,423232,255760
44,cross,2.0,sdpg,5,fast,light,6560,151240,41824
45,cross,2.0,sdpg,5,fast,ref,11776,300704,159872
46,cross,2.0,sdpg,5,small,light,6560,353032,158704
47,cross,2.0,sdpg,5,small,ref,0,0,0
